"행정구역","2023년02월_총인구수","2023년02월_세대수","2023년02월_세대당 인구","2023년02월_남자 인구수","2023년02월_여자 인구수","2023년02월_남여 비율"
"대구광역시 남구 대명2동(2720057100)","12,021","7,041","          1.71","5,687","6,334","          0.90"
"대구광역시 남구 대명3동(2720058600)","10,429","6,238","          1.67","5,135","5,294","          0.97"
"대구광역시 남구 대명4동(2720059000)","10,502","5,810","          1.81","5,075","5,427","          0.94"
"대구광역시 남구 대명5동(2720060000)","5,874","3,453","          1.70","2,772","3,102","          0.89"
"대구광역시 남구 대명6동(2720061000)","11,379","6,017","          1.89","5,455","5,924","          0.92"
"대구광역시 남구 대명9동(2720064000)","14,909","8,307","          1.79","7,268","7,641","          0.95"
"대구광역시 남구 대명10동(2720065000)","8,760","4,964","          1.76","4,132","4,628","          0.89"
"대구광역시 남구 대명11동(2720066000)","8,214","4,653","          1.77","3,895","4,319","          0.90"
"대구광역시 북구 (2723000000)","429,014","192,326","          2.23","213,150","215,864","          0.99"
"대구광역시 북구 고성동(2723051000)","4,655","2,188","          2.13","2,240","2,415","          0.93"
"대구광역시 북구 칠성동(2723052600)","22,946","10,295","          2.23","10,957","11,989","          0.91"
"대구광역시 북구 침산1동(2723055000)","3,945","2,000","          1.97","2,099","1,846","          1.14"
"대구광역시 북구 침산2동(2723056000)","18,319","6,897","          2.66","8,830","9,489","          0.93"
"대구광역시 북구 침산3동(2723057000)","19,311","7,481","          2.58","9,279","10,032","          0.92"
"대구광역시 북구 산격1동(2723061000)","8,733","5,122","          1.70","4,333","4,400","          0.98"
"대구광역시 북구 산격2동(2723062000)","10,492","4,695","          2.23","5,110","5,382","          0.95"
"대구광역시 북구 산격3동(2723063000)","9,180","6,231","          1.47","4,838","4,342","          1.11"
"대구광역시 북구 산격4동(2723063100)","8,141","4,491","          1.81","4,282","3,859","          1.11"
"대구광역시 북구 대현동(2723064500)","16,918","8,839","          1.91","8,516","8,402","          1.01"
"대구광역시 북구 복현1동(2723067100)","7,429","5,105","          1.46","4,139","3,290","          1.26"
"대구광역시 북구 복현2동(2723067200)","30,914","12,664","          2.44","15,323","15,591","          0.98"
"대구광역시 북구 검단동(2723068000)","6,233","3,163","          1.97","3,095","3,138","          0.99"
"대구광역시 북구 무태조야동(2723069500)","35,721","15,244","          2.34","18,203","17,518","          1.04"
"대구광역시 북구 관문동(2723071500)","35,652","14,632","          2.44","17,715","17,937","          0.99"
"대구광역시 북구 태전1동(2723072500)","21,844","10,732","          2.04","10,920","10,924","          1.00"
"대구광역시 북구 태전2동(2723073500)","23,883","10,818","          2.21","11,675","12,208","          0.96"
"대구광역시 북구 구암동(2723074500)","34,011","13,444","          2.53","16,652","17,359","          0.96"
"대구광역시 북구 관음동(2723075000)","15,887","7,438","          2.14","8,026","7,861","          1.02"
"대구광역시 북구 읍내동(2723077000)","26,004","11,674","          2.23","12,853","13,151","          0.98"
"대구광역시 북구 동천동(2723078000)","27,258","10,607","          2.57","13,226","14,032","          0.94"
"대구광역시 북구 노원동(2723079000)","11,054","5,629","          1.96","5,777","5,277","          1.09"
"대구광역시 북구 국우동(2723080000)","30,484","12,937","          2.36","15,062","15,422","          0.98"
"대구광역시 수성구 (2726000000)","410,761","171,571","          2.39","198,294","212,467","          0.93"
"대구광역시 수성구 범어1동(2726051000)","16,230","6,247","          2.60","7,708","8,522","          0.90"
"대구광역시 수성구 범어2동(2726052000)","15,045","6,870","          2.19","7,243","7,802","          0.93"
"대구광역시 수성구 범어3동(2726053000)","17,135","6,447","          2.66","8,211","8,924","          0.92"
"대구광역시 수성구 범어4동(2726054000)","19,779","6,708","          2.95","9,743","10,036","          0.97"
"대구광역시 수성구 만촌1동(2726055000)","22,117","8,895","          2.49","10,757","11,360","          0.95"
"대구광역시 수성구 만촌2동(2726056000)","10,757","5,063","          2.12","5,360","5,397","          0.99"
"대구광역시 수성구 만촌3동(2726056100)","19,609","6,998","          2.80","10,257","9,352","          1.10"
"대구광역시 수성구 수성1가동(2726057000)","17,270","7,087","          2.44","7,883","9,387","          0.84"
"대구광역시 수성구 수성2.3가동(2726058000)","11,352","4,557","          2.49","5,503","5,849","          0.94"
"대구광역시 수성구 수성4가동(2726059000)","13,855","5,731","          2.42","6,430","7,425","          0.87"
"대구광역시 수성구 황금1동(2726060100)","22,895","8,180","          2.80","10,931","11,964","          0.91"
"대구광역시 수성구 황금2동(2726060200)","12,046","6,095","          1.98","5,796","6,250","          0.93"
"대구광역시 수성구 중동(2726061000)","12,585","6,299","          2.00","6,233","6,352","          0.98"
"대구광역시 수성구 상동(2726062000)","15,621","7,765","          2.01","7,567","8,054","          0.94"
"대구광역시 수성구 파동(2726063000)","12,017","5,347","          2.25","5,751","6,266","          0.92"
"대구광역시 수성구 두산동(2726064000)","14,802","7,421","          1.99","7,189","7,613","          0.94"
"대구광역시 수성구 지산1동(2726065100)","20,968","10,444","          2.01","10,020","10,948","          0.92"
"대구광역시 수성구 지산2동(2726065200)","17,906","7,819","          2.29","8,438","9,468","          0.89"
"대구광역시 수성구 범물1동(2726066100)","10,889","5,905","          1.84","4,914","5,975","          0.82"
"대구광역시 수성구 범물2동(2726066200)","16,743","6,631","          2.52","8,078","8,665","          0.93"
"대구광역시 수성구 고산1동(2726067000)","31,200","11,689","          2.67","15,111","16,089","          0.94"
"대구광역시 수성구 고산2동(2726068000)","27,844","10,916","          2.55","13,736","14,108","          0.97"
"대구광역시 수성구 고산3동(2726069000)","32,096","12,457","          2.58","15,435","16,661","          0.93"
"대구광역시 달서구 (2729000000)","537,040","236,709","          2.27","263,859","273,181","          0.97"
"대구광역시 달서구 성당동(2729051500)","22,543","10,613","          2.12","10,953","11,590","          0.95"
"대구광역시 달서구 두류1.2동(2729053500)","14,904","8,655","          1.72","7,309","7,595","          0.96"
"대구광역시 달서구 두류3동(2729055000)","8,280","4,202","          1.97","3,988","4,292","          0.93"
"대구광역시 달서구 감삼동(2729055500)","28,738","12,309","          2.33","13,977","14,761","          0.95"
"대구광역시 달서구 죽전동(2729056300)","12,912","6,771","          1.91","6,370","6,542","          0.97"
"대구광역시 달서구 장기동(2729056800)","16,568","7,137","          2.32","8,115","8,453","          0.96"
"대구광역시 달서구 용산1동(2729057100)","29,830","12,408","          2.40","14,938","14,892","          1.00"
"대구광역시 달서구 용산2동(2729057200)","27,537","11,331","          2.43","13,791","13,746","          1.00"
"대구광역시 달서구 이곡1동(2729057600)","22,167","9,206","          2.41","11,088","11,079","          1.00"
"대구광역시 달서구 이곡2동(2729057700)","15,788","7,065","          2.23","7,948","7,840","          1.01"
"대구광역시 달서구 신당동(2729058500)","30,697","17,567","          1.75","15,567","15,130","          1.03"
"대구광역시 달서구 본리동(2729059000)","19,741","8,020","          2.46","9,732","10,009","          0.97"
"대구광역시 달서구 월성1동(2729060100)","40,646","13,281","          3.06","19,863","20,783","          0.96"
"대구광역시 달서구 월성2동(2729060200)","15,114","8,296","          1.82","7,143","7,971","          0.90"
"대구광역시 달서구 진천동(2729061500)","51,567","21,430","          2.41","25,214","26,353","          0.96"
"대구광역시 달서구 유천동(2729061700)","33,792","10,989","          3.08","16,639","17,153","          0.97"
"대구광역시 달서구 상인1동(2729062400)","34,805","12,942","          2.69","16,994","17,811","          0.95"
"대구광역시 달서구 상인2동(2729062500)","18,855","9,200","          2.05","9,327","9,528","          0.98"
"대구광역시 달서구 상인3동(2729062600)","10,705","6,154","          1.74","5,090","5,615","          0.91"
"대구광역시 달서구 도원동(2729062800)","34,183","13,807","          2.48","16,484","17,699","          0.93"
"대구광역시 달서구 송현1동(2729063000)","18,483","10,091","          1.83","9,174","9,309","          0.99"
"대구광역시 달서구 송현2동(2729064000)","17,343","9,218","          1.88","8,310","9,033","          0.92"
"대구광역시 달서구 본동(2729065000)","11,842","6,017","          1.97","5,845","5,997","          0.97"
"대구광역시 달성군 (2771000000)","262,716","113,231","          2.32","133,234","129,482","          1.03"
"대구광역시 달성군 화원읍(2771025000)","46,829","19,722","          2.37","23,226","23,603","          0.98"
"대구광역시 달성군 논공읍(2771025300)","4,557","2,399","          1.90","2,449","2,108","          1.16"
"대구광역시 달성군 논공읍공단출장소(2771025400)","12,567","6,298","          2.00","6,660","5,907","          1.13"
"대구광역시 달성군 다사읍(2771025600)","51,626","20,164","          2.56","25,479","26,147","          0.97"
"대구광역시 달성군 다사읍서재출장소(2771025700)","39,883","15,384","          2.59","20,200","19,683","          1.03"
"대구광역시 달성군 유가읍(2771025900)","29,331","11,316","          2.59","14,886","14,445","          1.03"
"대구광역시 달성군 옥포읍(2771026200)","24,453","11,044","          2.21","12,301","12,152","          1.01"
"대구광역시 달성군 현풍읍(2771026500)","22,853","11,992","          1.91","12,020","10,833","          1.11"
"대구광역시 달성군 가창면(2771031000)","7,602","3,746","          2.03","3,784","3,818","          0.99"
"대구광역시 달성군 하빈면(2771033000)","3,450","2,006","          1.72","1,882","1,568","          1.20"
"대구광역시 달성군 구지면(2771038000)","19,565","9,160","          2.14","10,347","9,218","          1.12"
"인천광역시  (2800000000)","2,971,788","1,326,947","          2.24","1,487,333","1,484,455","          1.00"
"인천광역시 중구 (2811000000)","153,715","76,378","          2.01","79,735","73,980","          1.08"
"인천광역시 중구 연안동(2811052000)","5,709","3,198","          1.79","3,095","2,614","          1.18"
"인천광역시 중구 신포동(2811053000)","4,779","2,556","          1.87","2,420","2,359","          1.03"
"인천광역시 중구 신흥동(2811054000)","13,425","6,383","          2.10","6,798","6,627","          1.03"
"인천광역시 중구 도원동(2811056000)","3,937","2,179","          1.81","2,032","1,905","          1.07"
"인천광역시 중구 율목동(2811057000)","3,070","1,804","          1.70","1,583","1,487","          1.06"
"인천광역시 중구 동인천동(2811058500)","5,617","3,349","          1.68","2,979","2,638","          1.13"
"인천광역시 중구 개항동(2811061500)","7,118","3,908","          1.82","3,584","3,534","          1.01"
"인천광역시 중구 영종동(2811062000)","22,703","11,702","          1.94","12,357","10,346","          1.19"
"인천광역시 중구 영종1동(2811062200)","47,367","18,306","          2.59","23,684","23,683","          1.00"
"인천광역시 중구 운서동(2811062800)","36,286","20,549","          1.77","19,147","17,139","          1.12"
"인천광역시 중구 용유동(2811063000)","3,704","2,444","          1.52","2,056","1,648","          1.25"
"인천광역시 중구영종출장소 (2811400000)","0","0","          0.00","0","0","          0.00"
"인천광역시 중구용유출장소 (2811800000)","0","0","          0.00","0","0","          0.00"
"인천광역시 동구 (2814000000)","59,297","27,815","          2.13","29,832","29,465","          1.01"
"인천광역시 동구 만석동(2814051000)","6,678","3,170","          2.11","3,445","3,233","          1.07"
"인천광역시 동구 화수1.화평동(2814052500)","5,724","2,803","          2.04","2,925","2,799","          1.05"
"인천광역시 동구 화수2동(2814053000)","7,340","3,706","          1.98","3,617","3,723","          0.97"
"인천광역시 동구 송현1.2동(2814055500)","10,045","4,382","          2.29","4,924","5,121","          0.96"
"인천광역시 동구 송현3동(2814057000)","3,192","1,773","          1.80","1,655","1,537","          1.08"
"인천광역시 동구 송림1동(2814058000)","4,211","1,871","          2.25","2,042","2,169","          0.94"
"인천광역시 동구 송림2동(2814059000)","1,976","1,204","          1.64","1,036","940","          1.10"
"인천광역시 동구 송림3.5동(2814060500)","5,774","2,567","          2.25","2,900","2,874","          1.01"
"인천광역시 동구 송림4동(2814061000)","6,099","2,548","          2.39","3,144","2,955","          1.06"
"인천광역시 동구 송림6동(2814063000)","5,905","2,501","          2.36","2,955","2,950","          1.00"
"인천광역시 동구 금창동(2814064000)","2,353","1,290","          1.82","1,189","1,164","          1.02"
"인천광역시 미추홀구 (2817700000)","404,692","194,606","          2.08","203,713","200,979","          1.01"
"인천광역시 미추홀구 숭의2동(2817751000)","14,441","6,921","          2.09","7,303","7,138","          1.02"
"인천광역시 미추홀구 숭의1.3동(2817752000)","15,852","7,548","          2.10","7,876","7,976","          0.99"
"인천광역시 미추홀구 숭의4동(2817753000)","15,647","7,581","          2.06","7,845","7,802","          1.01"
"인천광역시 미추홀구 용현1.4동(2817754000)","17,644","10,989","          1.61","9,666","7,978","          1.21"
"인천광역시 미추홀구 용현2동(2817755000)","17,477","8,338","          2.10","8,690","8,787","          0.99"
"인천광역시 미추홀구 용현3동(2817756000)","7,424","4,398","          1.69","3,949","3,475","          1.14"
"인천광역시 미추홀구 용현5동(2817757000)","46,558","19,992","          2.33","23,099","23,459","          0.98"
"인천광역시 미추홀구 학익1동(2817758000)","30,191","12,127","          2.49","15,038","15,153","          0.99"
"인천광역시 미추홀구 학익2동(2817759000)","18,395","8,291","          2.22","8,978","9,417","          0.95"
"인천광역시 미추홀구 도화1동(2817760000)","21,941","10,639","          2.06","11,003","10,938","          1.01"
"인천광역시 미추홀구 도화2.3동(2817761000)","32,135","14,271","          2.25","16,299","15,836","          1.03"
"인천광역시 미추홀구 주안1동(2817762000)","20,744","12,270","          1.69","10,887","9,857","          1.10"
"인천광역시 미추홀구 주안2동(2817763000)","16,359","8,402","          1.95","8,252","8,107","          1.02"
"인천광역시 미추홀구 주안3동(2817764000)","8,820","4,584","          1.92","4,445","4,375","          1.02"
"인천광역시 미추홀구 주안4동(2817765000)","17,601","8,657","          2.03","8,707","8,894","          0.98"
"인천광역시 미추홀구 주안5동(2817766000)","20,433","10,182","          2.01","10,180","10,253","          0.99"
"인천광역시 미추홀구 주안6동(2817767000)","21,578","10,143","          2.13","10,762","10,816","          1.00"
"인천광역시 미추홀구 주안7동(2817768000)","12,242","6,056","          2.02","5,931","6,311","          0.94"
"인천광역시 미추홀구 주안8동(2817769000)","20,220","9,179","          2.20","9,860","10,360","          0.95"
"인천광역시 미추홀구 관교동(2817770000)","14,612","6,278","          2.33","7,150","7,462","          0.96"
"인천광역시 미추홀구 문학동(2817771000)","14,378","7,760","          1.85","7,793","6,585","          1.18"
"인천광역시 연수구 (2818500000)","386,506","156,287","          2.47","191,686","194,820","          0.98"
"인천광역시 연수구 옥련1동(2818563000)","18,774","8,175","          2.30","9,289","9,485","          0.98"
"인천광역시 연수구 옥련2동(2818564000)","19,712","7,856","          2.51","9,735","9,977","          0.98"
"인천광역시 연수구 선학동(2818575000)","16,615","8,064","          2.06","8,646","7,969","          1.08"
"인천광역시 연수구 연수1동(2818576100)","18,233","9,333","          1.95","9,988","8,245","          1.21"
"인천광역시 연수구 연수2동(2818576200)","20,492","9,778","          2.10","10,023","10,469","          0.96"
"인천광역시 연수구 연수3동(2818576300)","15,645","7,312","          2.14","7,462","8,183","          0.91"
"인천광역시 연수구 청학동(2818576600)","24,121","12,557","          1.92","12,537","11,584","          1.08"
"인천광역시 연수구 동춘1동(2818578000)","24,920","9,155","          2.72","12,268","12,652","          0.97"
"인천광역시 연수구 동춘2동(2818579000)","17,904","6,936","          2.58","8,680","9,224","          0.94"
"인천광역시 연수구 동춘3동(2818579500)","18,024","5,777","          3.12","8,748","9,276","          0.94"
"인천광역시 연수구 송도1동(2818582000)","37,549","14,872","          2.52","18,393","19,156","          0.96"
"인천광역시 연수구 송도2동(2818583000)","36,451","11,893","          3.06","17,877","18,574","          0.96"
"인천광역시 연수구 송도3동(2818584000)","48,711","18,965","          2.57","23,852","24,859","          0.96"
"인천광역시 연수구 송도4동(2818585000)","27,952","10,214","          2.74","13,714","14,238","          0.96"
"인천광역시 연수구 송도5동(2818586000)","41,403","15,400","          2.69","20,474","20,929","          0.98"
"인천광역시 남동구 (2820000000)","503,689","226,328","          2.23","250,249","253,440","          0.99"
"인천광역시 남동구 구월1동(2820051000)","30,884","13,259","          2.33","15,027","15,857","          0.95"
"인천광역시 남동구 구월2동(2820052000)","35,035","12,833","          2.73","17,201","17,834","          0.96"
"인천광역시 남동구 구월3동(2820052100)","30,010","17,816","          1.68","15,078","14,932","          1.01"
"인천광역시 남동구 구월4동(2820052200)","14,207","7,790","          1.82","7,189","7,018","          1.02"
"인천광역시 남동구 간석1동(2820053000)","17,617","8,717","          2.02","8,664","8,953","          0.97"
"인천광역시 남동구 간석2동(2820054000)","21,507","9,340","          2.30","10,771","10,736","          1.00"
"인천광역시 남동구 간석3동(2820055000)","26,620","12,942","          2.06","13,292","13,328","          1.00"
"인천광역시 남동구 간석4동(2820055100)","28,856","13,580","          2.12","14,433","14,423","          1.00"
"인천광역시 남동구 만수1동(2820056000)","16,545","8,925","          1.85","8,058","8,487","          0.95"
"인천광역시 남동구 만수2동(2820057000)","23,576","9,748","          2.42","11,548","12,028","          0.96"
"인천광역시 남동구 만수3동(2820058000)","17,189","7,370","          2.33","8,664","8,525","          1.02"
"인천광역시 남동구 만수4동(2820058100)","20,058","8,933","          2.25","9,749","10,309","          0.95"
"인천광역시 남동구 만수5동(2820058200)","15,129","7,701","          1.96","7,534","7,595","          0.99"
"인천광역시 남동구 만수6동(2820058300)","23,393","10,207","          2.29","11,341","12,052","          0.94"
"인천광역시 남동구 장수서창동(2820065000)","19,385","7,930","          2.44","9,688","9,697","          1.00"
"인천광역시 남동구 서창2동(2820065500)","38,741","15,725","          2.46","19,233","19,508","          0.99"
"인천광역시 남동구 남촌도림동(2820066000)","20,683","9,424","          2.19","10,640","10,043","          1.06"
"인천광역시 남동구 논현1동(2820069000)","31,288","13,351","          2.34","15,769","15,519","          1.02"
"인천광역시 남동구 논현2동(2820070000)","32,358","15,143","          2.14","16,312","16,046","          1.02"
"인천광역시 남동구 논현고잔동(2820071000)","40,608","15,594","          2.60","20,058","20,550","          0.98"
"인천광역시 부평구 (2823700000)","490,423","219,116","          2.24","241,853","248,570","          0.97"
"인천광역시 부평구 부평1동(2823751000)","35,639","16,660","          2.14","17,118","18,521","          0.92"
"인천광역시 부평구 부평2동(2823752000)","14,845","7,333","          2.02","7,390","7,455","          0.99"
"인천광역시 부평구 부평3동(2823753000)","12,372","6,254","          1.98","6,158","6,214","          0.99"
"인천광역시 부평구 부평4동(2823754000)","36,034","18,559","          1.94","17,755","18,279","          0.97"
"인천광역시 부평구 부평5동(2823755000)","32,696","15,999","          2.04","16,079","16,617","          0.97"
"인천광역시 부평구 부평6동(2823756000)","14,684","7,262","          2.02","7,256","7,428","          0.98"
"인천광역시 부평구 산곡1동(2823757000)","14,680","6,506","          2.26","7,310","7,370","          0.99"
"인천광역시 부평구 산곡2동(2823758000)","30,171","10,835","          2.78","14,856","15,315","          0.97"
"인천광역시 부평구 산곡3동(2823758100)","21,315","8,799","          2.42","10,319","10,996","          0.94"
"인천광역시 부평구 산곡4동(2823758200)","17,085","6,582","          2.60","8,173","8,912","          0.92"
"인천광역시 부평구 청천1동(2823759100)","6,680","3,344","          2.00","3,567","3,113","          1.15"
"인천광역시 부평구 청천2동(2823759200)","34,730","14,646","          2.37","17,311","17,419","          0.99"
"인천광역시 부평구 갈산1동(2823764100)","16,084","7,331","          2.19","8,159","7,925","          1.03"
"인천광역시 부평구 갈산2동(2823764200)","18,058","8,104","          2.23","8,721","9,337","          0.93"
"인천광역시 부평구 삼산1동(2823764600)","33,042","14,210","          2.33","16,173","16,869","          0.96"
"인천광역시 부평구 삼산2동(2823764800)","28,072","10,209","          2.75","13,545","14,527","          0.93"
"인천광역시 부평구 부개1동(2823765000)","16,447","8,039","          2.05","8,268","8,179","          1.01"
"인천광역시 부평구 부개2동(2823766000)","19,493","8,351","          2.33","9,520","9,973","          0.95"
"인천광역시 부평구 부개3동(2823766100)","29,573","12,255","          2.41","14,181","15,392","          0.92"
"인천광역시 부평구 일신동(2823767000)","12,076","5,117","          2.36","6,157","5,919","          1.04"
"인천광역시 부평구 십정1동(2823768000)","24,525","11,252","          2.18","12,359","12,166","          1.02"
"인천광역시 부평구 십정2동(2823769000)","22,122","11,469","          1.93","11,478","10,644","          1.08"
"인천광역시 계양구 (2824500000)","287,238","126,891","          2.26","143,093","144,145","          0.99"
"인천광역시 계양구 효성1동(2824560100)","27,054","11,682","          2.32","13,573","13,481","          1.01"
"인천광역시 계양구 효성2동(2824560200)","28,255","11,681","          2.42","14,267","13,988","          1.02"
"인천광역시 계양구 계산1동(2824561100)","18,674","9,935","          1.88","9,837","8,837","          1.11"
"인천광역시 계양구 계산2동(2824561200)","15,290","7,838","          1.95","7,598","7,692","          0.99"
"인천광역시 계양구 계산3동(2824561300)","18,549","8,554","          2.17","8,857","9,692","          0.91"
"인천광역시 계양구 계산4동(2824561400)","22,736","9,201","          2.47","11,483","11,253","          1.02"
"인천광역시 계양구 작전1동(2824562100)","26,835","11,115","          2.41","13,162","13,673","          0.96"
"인천광역시 계양구 작전2동(2824562200)","18,976","8,881","          2.14","9,373","9,603","          0.98"
"인천광역시 계양구 작전서운동(2824564000)","34,075","14,072","          2.42","16,937","17,138","          0.99"
"인천광역시 계양구 계양1동(2824571000)","20,062","8,434","          2.38","9,929","10,133","          0.98"
"인천광역시 계양구 계양2동(2824572000)","32,025","15,549","          2.06","15,889","16,136","          0.98"
"인천광역시 계양구 계양3동(2824573000)","24,707","9,949","          2.48","12,188","12,519","          0.97"
"인천광역시 서구 (2826000000)","596,063","251,983","          2.37","300,597","295,466","          1.02"
"인천광역시 서구 검암경서동(2826051500)","45,074","20,009","          2.25","23,073","22,001","          1.05"
"인천광역시 서구 연희동(2826053000)","39,262","18,810","          2.09","20,037","19,225","          1.04"
"인천광역시 서구 청라1동(2826053600)","30,787","11,828","          2.60","15,292","15,495","          0.99"
"인천광역시 서구 청라2동(2826053700)","47,996","17,961","          2.67","23,791","24,205","          0.98"
"인천광역시 서구 청라3동(2826053900)","34,552","12,811","          2.70","17,233","17,319","          1.00"
"인천광역시 서구 가정1동(2826054200)","36,985","15,455","          2.39","18,486","18,499","          1.00"
"인천광역시 서구 가정2동(2826054300)","9,603","4,263","          2.25","4,965","4,638","          1.07"
"인천광역시 서구 가정3동(2826054400)","9,218","4,318","          2.13","4,588","4,630","          0.99"
"인천광역시 서구 석남1동(2826055000)","21,620","10,734","          2.01","11,109","10,511","          1.06"
"인천광역시 서구 석남2동(2826056000)","12,488","6,025","          2.07","6,436","6,052","          1.06"
"인천광역시 서구 석남3동(2826056100)","13,374","6,576","          2.03","6,707","6,667","          1.01"
"인천광역시 서구 신현원창동(2826057500)","30,462","12,732","          2.39","15,200","15,262","          1.00"
"인천광역시 서구 가좌1동(2826058000)","12,943","6,631","          1.95","6,867","6,076","          1.13"
"인천광역시 서구 가좌2동(2826059000)","19,238","7,633","          2.52","9,365","9,873","          0.95"
"인천광역시 서구 가좌3동(2826060000)","16,322","8,076","          2.02","8,325","7,997","          1.04"
"인천광역시 서구 가좌4동(2826061000)","10,073","4,762","          2.12","5,213","4,860","          1.07"
"인천광역시 서구 검단동(2826068000)","33,354","15,175","          2.20","17,289","16,065","          1.08"
"인천광역시 서구 불로대곡동(2826069000)","23,447","9,764","          2.40","11,913","11,534","          1.03"
"인천광역시 서구 원당동(2826070000)","23,246","9,673","          2.40","11,795","11,451","          1.03"
"인천광역시 서구 당하동(2826071000)","26,919","10,675","          2.52","13,421","13,498","          0.99"
"인천광역시 서구 오류왕길동(2826072000)","24,947","10,200","          2.45","12,641","12,306","          1.03"
"인천광역시 서구 마전동(2826073000)","22,121","8,181","          2.70","10,885","11,236","          0.97"
"인천광역시 서구 아라동(2826074000)","52,032","19,691","          2.64","25,966","26,066","          1.00"
"인천광역시 서구검단출장소 (2826500000)","0","0","          0.00","0","0","          0.00"
"인천광역시 강화군 (2871000000)","69,638","35,104","          1.98","34,845","34,793","          1.00"
"인천광역시 강화군 강화읍(2871025000)","22,621","10,679","          2.12","11,163","11,458","          0.97"
"인천광역시 강화군 선원면(2871031000)","7,915","3,639","          2.18","3,950","3,965","          1.00"
"인천광역시 강화군 불은면(2871032000)","5,040","2,755","          1.83","2,538","2,502","          1.01"
"인천광역시 강화군 길상면(2871033000)","7,291","3,695","          1.97","3,663","3,628","          1.01"
"인천광역시 강화군 화도면(2871034000)","4,562","2,463","          1.85","2,316","2,246","          1.03"
"인천광역시 강화군 양도면(2871035000)","4,272","2,228","          1.92","2,132","2,140","          1.00"
"인천광역시 강화군 내가면(2871036000)","3,072","1,672","          1.84","1,490","1,582","          0.94"
"인천광역시 강화군 하점면(2871037000)","4,056","2,094","          1.94","2,073","1,983","          1.05"
"인천광역시 강화군 양사면(2871038000)","1,902","1,016","          1.87","952","950","          1.00"
"인천광역시 강화군 송해면(2871039000)","3,279","1,681","          1.95","1,658","1,621","          1.02"
"인천광역시 강화군 교동면(2871040000)","2,803","1,564","          1.79","1,448","1,355","          1.07"
"인천광역시 강화군 삼산면(2871041000)","2,184","1,223","          1.79","1,128","1,056","          1.07"
"인천광역시 강화군 서도면(2871042000)","371","218","          1.70","185","186","          0.99"
"인천광역시 강화군 서도면볼음출장소(2871042500)","270","177","          1.53","149","121","          1.23"
"인천광역시 옹진군 (2872000000)","20,527","12,439","          1.65","11,730","8,797","          1.33"
"인천광역시 옹진군 북도면(2872031000)","1,145","652","          1.76","595","550","          1.08"
"인천광역시 옹진군 북도면장봉출장소(2872031500)","978","544","          1.80","519","459","          1.13"
"인천광역시 옹진군 백령면(2872033000)","4,987","2,995","          1.67","2,956","2,031","          1.46"
"인천광역시 옹진군 대청면(2872034000)","1,203","770","          1.56","698","505","          1.38"
"인천광역시 옹진군 대청면소청출장소(2872034500)","220","171","          1.29","136","84","          1.62"
"인천광역시 옹진군 덕적면(2872035000)","1,914","1,205","          1.59","1,067","847","          1.26"
"인천광역시 옹진군 영흥면(2872036000)","6,605","3,759","          1.76","3,690","2,915","          1.27"
"인천광역시 옹진군 자월면(2872037000)","966","594","          1.63","519","447","          1.16"
"인천광역시 옹진군 자월면이작출장소(2872037500)","385","233","          1.65","199","186","          1.07"
"인천광역시 옹진군 연평면(2872038000)","2,124","1,516","          1.40","1,351","773","          1.75"
"광주광역시  (2900000000)","1,428,927","653,209","          2.19","706,167","722,760","          0.98"
"광주광역시 동구 (2911000000)","106,101","54,342","          1.95","52,399","53,702","          0.98"
"광주광역시 동구 충장동(2911052500)","5,213","4,087","          1.28","2,600","2,613","          1.00"
"광주광역시 동구 동명동(2911054500)","3,733","2,440","          1.53","1,875","1,858","          1.01"
"광주광역시 동구 계림1동(2911056000)","10,568","5,812","          1.82","5,550","5,018","          1.11"
"광주광역시 동구 계림2동(2911057000)","13,043","5,477","          2.38","6,389","6,654","          0.96"
"광주광역시 동구 산수1동(2911059000)","8,191","4,404","          1.86","4,126","4,065","          1.02"
"광주광역시 동구 산수2동(2911060000)","10,017","4,729","          2.12","4,880","5,137","          0.95"
"광주광역시 동구 지산1동(2911062000)","4,129","2,435","          1.70","2,138","1,991","          1.07"
"광주광역시 동구 지산2동(2911063000)","4,368","2,381","          1.83","2,237","2,131","          1.05"
"광주광역시 동구 서남동(2911065500)","2,969","2,241","          1.32","1,588","1,381","          1.15"
"광주광역시 동구 학동(2911068500)","7,394","3,524","          2.10","3,528","3,866","          0.91"
"광주광역시 동구 학운동(2911071000)","11,200","5,214","          2.15","5,281","5,919","          0.89"
"광주광역시 동구 지원1동(2911073000)","9,024","4,203","          2.15","4,395","4,629","          0.95"
"광주광역시 동구 지원2동(2911074000)","16,252","7,395","          2.20","7,812","8,440","          0.93"
"광주광역시 서구 (2914000000)","287,237","133,857","          2.15","140,606","146,631","          0.96"
"광주광역시 서구 양동(2914057500)","3,408","1,977","          1.72","1,684","1,724","          0.98"
"광주광역시 서구 양3동(2914059000)","4,389","2,139","          2.05","2,139","2,250","          0.95"
"광주광역시 서구 농성1동(2914065000)","11,402","6,535","          1.74","5,602","5,800","          0.97"
"광주광역시 서구 농성2동(2914066000)","4,632","2,888","          1.60","2,430","2,202","          1.10"
"광주광역시 서구 광천동(2914073000)","7,561","4,019","          1.88","3,891","3,670","          1.06"
"광주광역시 서구 유덕동(2914074000)","10,634","4,858","          2.19","5,446","5,188","          1.05"
"광주광역시 서구 치평동(2914074500)","29,433","13,577","          2.17","13,984","15,449","          0.91"
